v0001anomes	c7	ct	cnt	pomif	poinf	taxami	taxasc
32/2013/4	73.25	27.79	0.00	100	100	12.76	22.96
32/2013/6	75.91	0	0.00	100	100	7.98	29.26
33/2012/3	64.9	3.6	67.00	87.16	94.62	11.5	16.32
33/2012/5	65.41	2.84	42.08	80.35	90.43	15.32	19.05
33/2012/6	66.47	1.47	37.19	88.57	89.76	17.67	18.08
33/2012/8	67.75	2.32	107.45	87.19	85.71	12.89	19.55
33/2012/9	70.15	6.7	103.30	85.34	83.53	12.15	20.73
33/2012/10	70.17	4.76	85.25	86.81	90.2	14.26	25.72
33/2012/11	71.26	5.26	74.30	87.2	96.1	11.75	21.52
33/2013/1	71.31	1.16	57.61	90	89.58	13.07	22.74
33/2013/2	68.59	2.87	53.68	90.2	91.25	11.28	18.48
33/2013/3	67.79	5.25	59.94	87.22	86.05	11.38	14.43
33/2013/4	70.11	3.89	51.85	90.5	88.64	11.41	18.28
33/2013/5	69.77	4.15	31.57	90.23	87.16	13.53	20.60
33/2013/6	69.66	3.29	32.36	90.91	91.3	15.56	22.46
35/2012/1	73.54	1.16	41.23	95.85	97.52	10.99	5.32
35/2012/2	72.17	2.22	47.20	93.09	97.92	9.79	5.10
35/2012/3	73.13	1.47	16.83	82.82	96.7	10.96	5.12
35/2012/4	73.83	1.86	41.51	91.16	95.19	12.72	4.62
35/2012/5	74.5	2.3	29.10	92.76	97.24	11.83	6.60
35/2012/7	73.67	1.97	6.98	98.85	95.72	12.78	6.22
35/2012/8	73.58	2.15	7.66	97.02	94.94	12.21	7.41
35/2012/9	75.58	1.93	7.99	97.71	96.3	11.26	5.91
35/2012/10	76.33	1.58	7.69	99.31	87.66	10.6	6.19
35/2012/11	76.3	1.46	8.44	93.07	93.29	12.39	6.88
35/2012/12	75.47	1.37	7.62	97.66	93.24	10.49	5.46
35/2013/1	75.11	0.79	7.47	98.71	96.45	9.67	6.59
35/2013/2	73.97	1.61	8.27	79.13	94.74	9.32	5.04
35/2013/3	75.25	1.9	6.74	99.69	98.27	11.29	7.83
35/2013/4	75.55	2.25	7.25	99.66	95.6	11.76	7.30
35/2013/5	75.99	2.36	7.02	99.09	96.07	11.58	7.03
35/2013/6	76.44	1.57	7.62	100	95.56	12.56	8.09
35/2013/7	75.7	4.65	8.45	99.32	97.52	11.05	6.80
41/2012/1	89.79	54.73	56.27	100	100	7.5	7.50
41/2012/3	79.59	58.63	201.11	100	100	6.41	4.70
41/2012/4	79.97	38.79	249.58	100	100	8.66	9.14
41/2012/5	85.13	64.44	281.87	100	100	12.69	4.53
41/2012/6	85.59	54.06	248.78	100	100	13.33	4.76
41/2012/8	83.96	55.5	294.66	100	100	6.72	3.36
41/2012/9	84.69	45.06	257.06	100	100	9.75	3.41
41/2012/11	88.44	56.89	313.43	100	100	8.32	7.28
41/2012/12	87.78	58.29	230.59	100	100	10.03	5.01
41/2013/1	87.12	53.83	288.56	100	100	6.86	4.57
41/2013/4	86.11	56.47	273.98	100	100	9.85	4.03
41/2013/5	85.63	59.53	255.50	100	100	13.2	5.66
41/2013/6	86.04	59.78	265.29	100	100	8.88	7.89
42/2011/11	73.48	1.46	243.98	91.67	100	4.89	2.44
42/2012/1	63.22	0.96	56.03	100	100	13.36	4.45
